                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8984,                 4.1425,                 1.4366,                0.00365,                0.70625,                0.28793,                0.07185,                 1.2229,                 4.1324,                 1.0564,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.3034,                 2.6605,                 1.0873,                0.00517,                      1,                0.60713,                 0.3005,                 1.2215,                 3.7963,                0.95844,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.2727,                 2.2939,                 1.1341,                0.00409,                0.73958,                0.37549,                0.11895,                 1.2976,                 4.0364,                 1.1289,             0.00056035,             0.00056035,             0.00056035
                      4,                 1.2999,                 2.0374,                 1.1522,                0.00394,                0.76875,                 0.4536,                0.17207,                 1.6829,                 3.9851,                 1.4089,             0.00073695,             0.00073695,             0.00073695
                      5,                 1.2241,                 1.9924,                 1.1298,                0.00499,                0.96667,                0.81813,                0.34333,                 2.0024,                 3.6707,                 1.5539,             0.00090563,             0.00090563,             0.00090563
                      6,                 1.2269,                 1.6969,                 1.1222,                      1,                0.26126,                0.95995,                0.34522,                 2.1786,                 3.2876,                 1.8031,              0.0010664,              0.0010664,              0.0010664
                      7,                 1.1942,                 1.5946,                 1.0845,                0.97162,                0.56238,                0.90929,                0.42402,                 2.0592,                 2.8236,                 1.5838,              0.0012192,              0.0012192,              0.0012192
                      8,                 1.1391,                 1.4611,                  1.077,                0.88169,                  0.775,                0.86525,                0.38693,                  2.117,                 2.1262,                  1.767,              0.0013642,              0.0013642,              0.0013642
                      9,                 1.2861,                  1.523,                 1.1441,                0.92948,                 0.8852,                0.90546,                0.39863,                 2.1569,                 1.9079,                 1.6188,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1887,                 1.4016,                 1.0983,                0.96091,                0.95814,                0.98016,                0.44679,                 2.1635,                 1.6398,                 1.6662,              0.0013699,              0.0013699,              0.0013699
